Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
312,Lucas Hernández,fr FRA,DF,fr Paris S-G,29-322,1996,3,0,115,1.3,0,0,0,0,0,0,0,1,0,0,0,0,2,6,1,0,0,0,0,0,0,0,0,0,0,Matches
313,Santiago Hezze,ar ARG,MF,gr Olympiacos,24-072,2001,5,4,343,3.8,0,1,1,0,0,0,3,1,0.1,0.1,0.5,0.5,0,21,12,0,0.26,0.26,0,0.26,0.02,0.12,0.14,0.02,0.14,Matches
314,Isak Hien,se SWE,DF,it Atalanta,26-354,1999,4,3,306,3.4,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,3,9,1,0,0,0,0,0,0.08,0.01,0.09,0.08,0.09,Matches
315,Asier Hierro,es ESP,"FW,MF",es Athletic Club,20-241,2005,2,0,31,0.3,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,1,2,5,0,0,0,0,0,0.87,0,0.87,0.87,0.87,Matches
316,Piero Hincapié,ec ECU,DF,eng Arsenal,23-358,2002,3,2,135,1.5,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,2,8,3,0,0,0,0,0,0.25,0,0.25,0.25,0.25,Matches
317,Morten Hjulmand,dk DEN,MF,pt Sporting CP,26-191,1999,6,6,519,5.8,0,0,0,0,0,1,3,0,1,0.2,0.4,0.6,6,25,7,0,0,0,0,0,0.17,0.08,0.25,0.03,0.11,Matches
318,Tomáš Holeš,cz CZE,DF,cz Slavia Prague,32-277,1993,3,2,143,1.6,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,9,0,0,0,0,0,0,0,0.05,0.05,0,0.05,Matches
319,Lukáš Hrádecký,fi FIN,GK,fr Monaco,36-039,1989,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
320,Rodrigo Huescas,mx MEX,DF,dk FC Copenhagen,22-106,2003,2,2,104,1.2,0,1,1,0,0,0,0,0,0,0,0.3,0.4,5,0,7,0,0.87,0.87,0,0.87,0.04,0.28,0.32,0.04,0.32,Matches
321,Dean Huijsen,es ESP,DF,es Real Madrid,20-263,2005,3,3,270,3,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,1,14,1,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04,Matches
