Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Top Team Scorer,Goalkeeper,Notes
5,Hoffenheim,15,8,3,4,29,20,9,27,Fisnik Asllani - 6,Oliver Baumann,
6,Stuttgart,15,8,2,5,25,22,3,26,Deniz Undav - 8,Alexander Nübel,
7,Eint Frankfurt,15,7,4,4,30,30,0,25,Jonathan Burkardt - 8,Michael Zetterer,
8,Union Berlin,15,6,3,6,20,23,-3,21,Ilyas Ansah - 5,Frederik Rønnow,
9,Freiburg,15,5,5,5,25,26,-1,20,Vincenzo Grifo - 5,Noah Atubolu,
10,Werder Bremen,15,4,5,6,18,28,-10,17,Jens Stage - 5,Mio Backhaus,
11,Köln,15,4,4,7,22,24,-2,16,Said El Mala - 6,Marvin Schwäbe,
12,Gladbach,15,4,4,7,18,24,-6,16,Haris Tabakovic - 7,Moritz Nicolas,
13,Hamburger SV,15,4,4,7,16,25,-9,16,"Albert Sambi Lokonga, Rayan Philippe - 4",Daniel Heuer Fernandes,
14,Wolfsburg,15,4,3,8,23,28,-5,15,Mohamed Amoura - 6,Kamil Grabara,
15,Augsburg,15,4,2,9,17,28,-11,14,Fabian Rieder - 3,Finn Dahmen,
16,St. Pauli,15,3,3,9,13,26,-13,12,Andreas Hountondji - 4,Nikola Vasilj,
17,Heidenheim,15,3,2,10,13,34,-21,11,Stefan Schimmer - 4,Diant Ramaj,
18,Mainz 05,15,1,5,9,13,26,-13,8,Nadiem Amiri - 3,Robin Zentner,
1,Lens,16,12,1,3,28,13,15,37,Odsonne Édouard - 7,Robin Risser,
2,Paris S-G,16,11,3,2,35,14,21,36,"João Neves, Bradley Barcola - 5",Lucas Chevalier,
3,Marseille,16,10,2,4,36,15,21,32,Mason Greenwood - 11,Gerónimo Rulli,
4,Lille,16,10,2,4,33,20,13,32,"Hákon Arnar Haraldsson, Hamza Igamane - 5",Berke Özer,
5,Lyon,16,8,3,5,22,16,6,27,Pavel Šulc - 6,Dominik Greif,
6,Rennes,16,7,6,3,27,24,3,27,Esteban Lepaul - 8,Brice Samba,
7,Toulouse,16,6,5,5,24,19,5,23,Yann Gboho - 5,Guillaume Restes,
8,Strasbourg,16,7,2,7,25,20,5,23,Joaquín Panichelli - 9,Mike Penders,
9,Monaco,16,7,2,7,26,27,-1,23,Ansu Fati - 5,Philipp Köhn,
10,Angers,16,6,4,6,17,18,-1,22,Sidiki Cherif - 4,Hervé Koffi,
11,Brest,16,5,4,7,21,27,-6,19,Romain Del Castillo - 6,Rados?aw Majecki,
12,Lorient,16,4,6,6,19,28,-9,18,Pablo Pagis - 5,Yvon Mvogo,
13,Nice,16,5,2,9,19,29,-10,17,Sofiane Diop - 6,Yehvann Diouf,
14,Paris FC,16,4,4,8,21,29,-8,16,Ilan Kebbal - 6,Obed Nkambadio,
15,Le Havre,16,3,6,7,13,22,-9,15,"Issa Soumaré, Rassoul Ndiaye - 3",Mory Diaw,
16,Auxerre,16,3,3,10,14,25,-11,12,Lassine Sinayoko - 6,Donovan Léon,
17,Nantes,16,2,5,9,14,28,-14,11,Youssef El-Arabi - 3,Anthony Lopes,
18,Metz,16,3,2,11,17,37,-20,11,Gauthier Hein - 5,Jonathan Fischer,
